REGION,STORM_NO,NAME,ADVISORY,ADV_DATE,ADV_HOUR,SPEED,PRESSURE,TYPE,LAT,LONG
W,0,┬áMAN-YI,0,2018-11-21,600,80,0,H,139.7,11.8
W,0,┬áMAN-YI,0,2018-11-21,0,75,0,H,141.8,10.6
I,0,GAJA,0,2018-11-20,1200,20,0,D,57,10.3
I,0,GAJA,0,2018-11-20,600,20,0,D,57.3,10
W,0,TORAJI,0,2018-11-20,1200,20,0,D,98.4,6.7
W,0,TORAJI,0,2018-11-20,600,20,0,D,99.3,7
W,0,TORAJI,0,2018-11-20,0,25,0,D,99.7,7.1
W,0,USAGI,0,2018-11-20,1800,25,0,D,119.6,10.5
W,0,USAGI,0,2018-11-20,1200,25,0,D,120.4,10.7
W,0,USAGI,0,2018-11-20,600,25,0,D,121.8,11.1
W,0,USAGI,0,2018-11-20,0,25,0,D,123.3,11.7
W,0,┬áMAN-YI,0,2018-11-20,1800,65,0,H,143.9,9.6
W,0,┬áMAN-YI,0,2018-11-20,1200,55,0,S,146.9,8.7
W,0,┬áMAN-YI,0,2018-11-20,600,55,0,S,149.1,7.6
W,0,┬áMAN-YI,0,2018-11-20,0,50,0,S,151,6.7
I,0,GAJA,0,2018-11-19,1200,20,0,D,60.1,10.9
I,0,GAJA,0,2018-11-19,600,20,0,D,60.9,10.9
I,0,GAJA,0,2018-11-19,0,20,0,D,60.8,10.3
W,0,TORAJI,0,2018-11-19,1800,25,0,D,99.4,7
W,0,TORAJI,0,2018-11-19,1200,25,0,D,101.6,8.2
W,0,TORAJI,0,2018-11-19,600,25,0,D,102,8.3
W,0,TORAJI,0,2018-11-19,0,15,0,D,102.4,8.4
W,0,USAGI,0,2018-11-19,1800,25,0,D,125.6,11.6
W,0,USAGI,0,2018-11-19,1200,25,0,D,126.3,10.9
W,0,USAGI,0,2018-11-19,600,30,0,D,127.4,10.6
W,0,USAGI,0,2018-11-19,0,30,0,D,127.8,10.3
W,0,┬áMAN-YI,0,2018-11-19,1800,45,0,S,152.6,6
W,0,┬áMAN-YI,0,2018-11-19,1200,30,0,D,154.2,4.8
W,0,┬áMAN-YI,0,2018-11-19,600,25,0,D,154.9,4.6
W,0,┬áMAN-YI,0,2018-11-19,0,25,0,D,155.6,4.8
I,0,GAJA,0,2018-11-18,1800,20,0,D,62.5,10.2
I,0,GAJA,0,2018-11-18,600,20,0,D,65.6,10.6
I,0,GAJA,0,2018-11-18,0,25,0,D,66.3,10.4
W,0,TORAJI,0,2018-11-18,0,15,0,D,105.6,10.7
W,0,USAGI,0,2018-11-18,1800,30,0,D,128.8,9.8
W,0,USAGI,0,2018-11-18,1200,30,0,D,129.7,9.1
W,0,USAGI,0,2018-11-18,600,30,0,D,130.8,8.6
W,0,USAGI,0,2018-11-18,0,30,0,D,132.4,8
I,0,GAJA,0,2018-11-17,1800,25,0,D,67.8,10.5
I,0,GAJA,0,2018-11-17,1200,40,0,S,68.4,10.9
I,0,GAJA,0,2018-11-17,600,40,0,S,68.8,10.6
I,0,GAJA,0,2018-11-17,0,35,0,S,69.6,10.5
W,0,TORAJI,0,2018-11-17,1800,15,0,D,106.8,12.6
W,0,TORAJI,0,2018-11-17,1200,20,0,D,107.7,12.1
W,0,TORAJI,0,2018-11-17,600,25,0,D,109.2,11.7
W,0,TORAJI,0,2018-11-17,0,30,0,D,109.6,11.7
W,0,USAGI,0,2018-11-17,1800,30,0,D,133,7
W,0,USAGI,0,2018-11-17,1200,30,0,D,133.6,6.6
I,0,GAJA,0,2018-11-16,1800,35,0,S,70.5,10.4
I,0,GAJA,0,2018-11-16,1200,40,0,S,71.6,10
I,0,GAJA,0,2018-11-16,600,40,0,S,72.8,9.7
I,0,GAJA,0,2018-11-16,0,45,0,S,74.3,10
W,0,TORAJI,0,2018-11-16,1800,30,0,D,110,11.5
I,0,GAJA,0,2018-11-15,1800,40,0,S,75.2,9.7
I,0,GAJA,0,2018-11-15,1200,40,0,S,76.5,9.7
I,0,GAJA,0,2018-11-15,600,60,0,S,77.6,10
I,0,GAJA,0,2018-11-15,0,75,0,H,79.2,10.4
I,0,GAJA,0,2018-11-14,1800,75,0,H,80.3,10.6
I,0,GAJA,0,2018-11-14,1200,55,0,S,81.2,10.9
I,0,GAJA,0,2018-11-14,600,55,0,S,82.1,11.3
I,0,GAJA,0,2018-11-14,0,45,0,S,83.1,11.6
I,0,GAJA,0,2018-11-13,1800,45,0,S,84,11.8
I,0,GAJA,0,2018-11-13,1200,45,0,S,84,12.3
I,0,GAJA,0,2018-11-13,600,45,0,S,84.8,12.8
I,0,GAJA,0,2018-11-13,0,40,0,S,85.3,13.1
I,0,GAJA,0,2018-11-12,1800,35,0,S,85.7,13.4
I,0,GAJA,0,2018-11-12,1200,35,0,S,85.9,13.5
I,0,GAJA,0,2018-11-12,600,35,0,S,86.4,13.9
I,0,GAJA,0,2018-11-12,0,35,0,S,87.4,13.7
I,0,GAJA,0,2018-11-10,1800,35,0,S,86.9,12.9
I,0,GAJA,0,2018-11-10,1200,35,0,S,87.6,13.4
I,0,GAJA,0,2018-11-10,600,35,0,S,88.6,13.3
I,0,GAJA,0,2018-11-10,0,40,0,S,89.2,13.3
I,0,LUBAN,0,2018-11-09,1800,65,0,H,57.8,14.5
I,0,LUBAN,0,2018-11-09,1200,65,0,H,57.9,14.5
I,0,LUBAN,0,2018-11-09,0,75,0,H,58.1,14.5
I,0,TITLI,0,2018-11-09,1200,70,0,H,83.7,19.6
I,0,TITLI,0,2018-11-09,600,80,0,H,83.6,19.2
I,0,TITLI,0,2018-11-09,0,90,0,H,84.5,18.9
W,0,MANGKHUT,0,2018-11-08,1800,140,0,H,137.3,13.9
W,0,MANGKHUT,0,2018-11-08,1200,140,0,H,138.6,13.7
W,0,MANGKHUT,0,2018-11-08,600,135,0,H,139.7,14
W,0,MANGKHUT,0,2018-11-08,0,120,0,H,141.2,14
W,0,BARIJAT,0,2018-11-08,1800,40,0,S,116.3,20.5
W,0,BARIJAT,0,2018-11-08,1200,35,0,S,116.9,20.5
W,0,BARIJAT,0,2018-11-08,600,35,0,S,117.9,20.8
W,0,BARIJAT,0,2018-11-08,0,35,0,S,118.6,20.6
W,0,YAGI,0,2018-11-07,1800,35,0,S,125.4,25.2
W,0,YAGI,0,2018-11-07,1200,40,0,S,126.9,25
W,0,YAGI,0,2018-11-07,600,35,0,S,128.2,25.1
W,0,YAGI,0,2018-11-07,0,35,0,S,129.4,25
W,0,LEEPI,0,2018-11-07,1800,55,0,S,143.1,21
W,0,LEEPI,0,2018-11-07,1200,55,0,S,143.6,20.1
W,0,LEEPI,0,2018-11-07,600,30,0,D,143.7,19.4
S,0,IRIS,0,2018-11-03,1800,25,0,D,151.5,-12
S,0,IRIS,0,2018-11-03,1200,25,0,D,151,-12.3
S,0,IRIS,0,2018-11-03,600,25,0,D,151.5,-12.5
S,0,IRIS,0,2018-11-03,0,25,0,D,151.8,-12.5
S,0,KENI,0,2018-11-03,1200,60,0,S,-171.4,-30.4
S,0,KENI,0,2018-11-03,600,65,0,H,-172.8,-27.6
S,0,KENI,0,2018-11-03,0,75,0,H,-174.5,-25.4
S,0,HOLA,0,2018-11-02,600,45,0,S,174.6,-30.7
S,0,HOLA,0,2018-11-02,0,50,0,S,173.4,-28.6
S,0,GITA,0,2018-11-01,1800,95,0,H,-171.5,-21.6
S,0,GITA,0,2018-11-01,1200,90,0,H,-170.2,-21.3
S,0,GITA,0,2018-11-01,600,90,0,H,-168.9,-20.8
S,0,GITA,0,2018-11-01,0,85,0,H,-168.3,-20.4
S,0,JOYCE,0,2018-10-31,1800,50,0,S,121.6,-18.6
S,0,JOYCE,0,2018-10-31,1200,45,0,S,121.5,-17.9
S,0,JOYCE,0,2018-10-31,600,35,0,S,121.6,-17.2
S,0,JOYCE,0,2018-10-31,0,40,0,S,121.6,-16.8
W,0,YUTU,0,2018-10-30,1800,50,0,S,117,18.9
W,0,YUTU,0,2018-10-30,1200,45,0,S,117.3,18.4
W,0,YUTU,0,2018-10-30,600,45,0,S,117.5,18.1
W,0,YUTU,0,2018-10-30,0,55,0,S,118,17.4
W,0,YUTU,0,2018-10-29,1800,55,0,S,118.8,16.6
W,0,YUTU,0,2018-10-29,1200,60,0,S,118.9,16.6
W,0,YUTU,0,2018-10-29,600,70,0,H,120,16.8
W,0,YUTU,0,2018-10-29,0,80,0,H,121.6,16.8
W,0,YUTU,0,2018-10-28,1800,90,0,H,123,16.8
W,0,YUTU,0,2018-10-28,1200,90,0,H,124.2,16.7
W,0,YUTU,0,2018-10-28,600,90,0,H,125.3,16.8
W,0,YUTU,0,2018-10-28,0,90,0,H,126.2,16.9
W,0,YUTU,0,2018-10-27,1800,105,0,H,127,17.4
W,0,YUTU,0,2018-10-27,1200,110,0,H,128.1,17.7
W,0,YUTU,0,2018-10-27,600,130,0,H,129,17.9
W,0,YUTU,0,2018-10-27,0,130,0,H,130.1,18
W,0,YUTU,0,2018-10-26,1800,135,0,H,131.1,18
W,0,YUTU,0,2018-10-26,1200,130,0,H,132.2,17.9
W,0,YUTU,0,2018-10-26,600,135,0,H,133.3,17.8
W,0,YUTU,0,2018-10-26,0,140,0,H,134.7,17.7
W,0,YUTU,0,2018-10-25,1800,140,0,H,136.2,17.6
W,0,YUTU,0,2018-10-25,1200,135,0,H,137.6,17.2
W,0,YUTU,0,2018-10-25,600,130,0,H,138.9,16.9
W,0,YUTU,0,2018-10-25,0,130,0,H,140.3,16.9
W,0,YUTU,0,2018-10-24,1800,130,0,H,141.4,16.6
W,0,YUTU,0,2018-10-24,1200,140,0,H,142.3,16.3
W,0,YUTU,0,2018-10-24,600,145,0,H,143.2,16
W,0,YUTU,0,2018-10-24,0,145,0,H,144.2,15.8
W,0,YUTU,0,2018-10-23,1800,150,0,H,145.3,15.3
W,0,YUTU,0,2018-10-23,1200,155,0,H,146.2,14.6
W,0,YUTU,0,2018-10-23,600,145,0,H,147.1,13.9
W,0,YUTU,0,2018-10-23,0,130,0,H,147.9,13.3
W,0,YUTU,0,2018-10-22,1800,110,0,H,148.9,12.6
W,0,YUTU,0,2018-10-22,1200,90,0,H,149.6,12
W,0,YUTU,0,2018-10-22,600,75,0,H,150.6,11.8
W,0,YUTU,0,2018-10-22,0,65,0,H,151.6,11.5
W,0,YUTU,0,2018-10-21,1800,60,0,S,152.7,10.9
W,0,YUTU,0,2018-10-21,1200,45,0,S,153.8,10.6
W,0,YUTU,0,2018-10-21,600,40,0,S,155,9.8
W,0,YUTU,0,2018-10-21,0,35,0,S,156.2,8.9
W,0,YUTU,0,2018-10-20,1800,30,0,D,156.8,8.6
I,0,LUBAN,0,2018-10-13,600,30,0,D,52.1,15.8
I,0,LUBAN,0,2018-10-13,0,35,0,S,52.8,15.5
I,0,LUBAN,0,2018-10-12,1800,40,0,S,53.7,15
I,0,LUBAN,0,2018-10-12,1200,45,0,S,54.4,14.9
I,0,LUBAN,0,2018-10-12,600,45,0,S,55.1,14.8
I,0,LUBAN,0,2018-10-12,0,40,0,S,55.7,14.6
I,0,LUBAN,0,2018-10-09,1800,75,0,H,58.5,14.5
I,0,LUBAN,0,2018-10-09,1200,75,0,H,58.5,14.4
I,0,LUBAN,0,2018-10-09,600,75,0,H,58.9,14.2
I,0,LUBAN,0,2018-10-09,0,65,0,H,59.1,14.1
I,0,TITLI,0,2018-10-09,1800,90,0,H,85.2,18.5
I,0,TITLI,0,2018-10-09,1200,90,0,H,85.4,17.6
I,0,TITLI,0,2018-10-09,600,75,0,H,85.7,17
I,0,TITLI,0,2018-10-09,0,55,0,S,86.1,16.3
W,0,MANGKHUT,0,2018-10-08,1800,110,0,H,142.6,14
W,0,MANGKHUT,0,2018-10-08,1200,100,0,H,144.2,14.1
W,0,MANGKHUT,0,2018-10-08,600,90,0,H,145.7,14.3
W,0,MANGKHUT,0,2018-10-08,0,80,0,H,147.4,14.5
W,0,BARIJAT,0,2018-10-08,1800,35,0,S,119.8,21
W,0,BARIJAT,0,2018-10-08,1200,35,0,S,120.8,21.4
W,0,BARIJAT,0,2018-10-08,600,35,0,S,120.9,21.4
W,0,BARIJAT,0,2018-10-08,0,30,0,D,121.6,21.6
W,0,SHANSHAN,0,2018-10-07,1200,35,0,S,155.9,41.3
W,0,SHANSHAN,0,2018-10-07,600,35,0,S,150.8,41
W,0,SHANSHAN,0,2018-10-07,0,35,0,S,147.3,40
W,0,YAGI,0,2018-10-07,1800,35,0,S,130.8,24.3
W,0,YAGI,0,2018-10-07,1200,35,0,S,131.9,23.2
W,0,YAGI,0,2018-10-07,600,35,0,S,132,22.7
W,0,YAGI,0,2018-10-07,0,40,0,S,132.2,22.8
S,0,IRIS,0,2018-10-03,1800,25,0,D,152,-12.9
S,0,IRIS,0,2018-10-03,1200,25,0,D,152.4,-12.4
